Place_Id,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,Image_URL
11,Pulau Bidadari,"Pulau Bidadari merupakan salah satu resor di Kabupaten Kepulauan Seribu, Jakarta. Sebelum bernama Pulau Bidadari, pulau ini memiliki dua nama yaitu Pulau Sakit dan Pulau Purmerend",Bahari,Jakarta,5000,4.6,,"{'lat': -6.035832999999999, 'lng': 106.746944}",-6.035833,106.746944,https://www.ancol.com/blog/wp-content/uploads/2023/02/pulau-bidadari.jpeg
12,Pulau Pari,"Pulau Pari adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia.
",Bahari,Jakarta,150000,4,,"{'lat': -5.9074328, 'lng': 106.5863989}",-5.9074328,106.5863989,https://pulauseribu.co.id/wp-content/uploads/wisata-Pulau-Pari-Kepulauan-Seribu-jakarta.jpg
13,Pulau Pramuka,Pulau Pramuka merupakan salah satu pulau yang berada dalam gugusan Kepulauan Seribu. Pulau ini merupakan pusat administrasi dan pemerintahan Kabupaten Administrasi Kepulauan Seribu. Pulau Pramuka termasuk ke dalam wilayah Kelurahan Pulau Panggang.,Bahari,Jakarta,5000,4.2,,"{'lat': -5.745962, 'lng': 106.6136577}",-5.745962,106.6136577,https://tidunglagoon.com/wp-content/uploads/2024/07/pulau-pramuka-kepulauan-seribu-jakarta-indonesia-jakarta.jpeg
14,Pulau Pelangi,"Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia. Pulau Pelangi adalah sebuah pulau yang terletak di Kepulauan Seribu di Daerah Khusus Ibukota Jakarta, Indonesia, Pulau Pelangi / biasa disebut Pulau Petondan Besar ( Pelangi Island ) merupakan pulau resort yang sesuai untuk berlibur. Pulau Resort ini mempunyai konsep natural, karena sebagian wilayahnya di penuhi dengan rerimbunan pohon yang menyejukan mata, Keindahan alam dan lautnya layak untuk dikunjungi. Dikelilingi oleh rimbunan pohon dan laut berwarana biru jernih membuat suasanan sejuk dan nyaman. Kondisi yang ideal untuk wisata bersama keluarga. Dengan akomodasi yang langsung menghadap ke laut membuat turis betah berlama-lama di Pulau Pelangi.\nMenurut informasi, Pulau Pelangi atau Pulau Petondan Besar merupakan pulau yang berada pada gugusan Kepulauan Seribu. Secara administratif termasuk dalam wilayah Kabupaten Administratif Kepulauan Seribu provinsi DKI Jakarta. Bersamaan dengan Pulau Petondan Kecil merupakan sebuah resort berlibur. Letaknya berdekatan dengan gugusan yang sama dengan Pulau Kelor dan Pulau Kelapa.\nUntuk mencapai Pelangi Resort dibutuhkan waktu 90 menit perjalanan dari dermaga Pantai Mutiara. Terdapat kapal speedboat khusus di pier R1 Pantai Mutiara yang membawa penumpang kesana. Letaknya 60 â€“ 70 km dari Pantai Mutiara memang lumayan jauh. Namun perjalanan anda terbayar lunas begitu sampai di Pulau Pelangi.
",Bahari,Jakarta,900000,4.8,,"{'lat': -5.587055, 'lng': 106.5885}",-5.587055,106.5885,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgr9pv5_9iC83LA7BTPoTwYOg53QsvJrSSSv2Cz9mnq_FkvFVyeaRchFpPGzr61FcyRkvByIbG7XY8JW0SAHlNiF2kxfbk_439IhFdaX0NAyAGk8dJKGTXuvKY_JuLXdbKlUzxuDUaoWtE/s1600/pulau-pelangi.jpg
15,Pasar Seni,"Pasar Seni merupakan Pusat kerajinan dan kesenian yang menjadi wadah bagi seniman berbakat untuk menyalurkan kerajinan seni yang mereka miliki. Seniman dapat bertemu dengan para kolektor seni dan pengusaha untuk saling berbagi informasi dan memasarkan produk yang dimiliki. Didirikan awal tahun 1977, dengan peletakan batu pertama oleh Bang Ali Sadikin, Gubernur pertama DKI Jakarta, tepatnya pada bulan Juli 1977. Dan diresmikan oleh Gubernur H. Tjokropanolo pada tanggal 17 Desember 1977. Sejak diresmikan Pasar Seni, mendapat sambutan positif bagi pada pecinta seni yang ada.",Pusat Perbelanjaan,Jakarta,0,4.4,90,"{'lat': -6.1766868, 'lng': 106.8417666}",-6.1766868,106.8417666,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c7/e2/8f/pasar-seni-ancol.jpg?w=900&h=500&s=1
16,Jembatan Kota Intan,"Jembatan Kota Intan adalah jembatan tertua di Indonesia yang dibangun pada tahun 1628 oleh pemerintah Vereenigde Oostindische Compagnie atau VOC, atau masyarakat kita lebih familiar dengan sebutan Kumpeni. Jembatan itu kini terletak di Kali Besar kawasan Kota Tua wilayah Jakarta Barat dan berada di bawah pengelolaan Dinas Pariwisata dan Kebudayaan Provinsi DKI Jakarta.",Budaya,Jakarta,0,4.3,,"{'lat': -6.1314572, 'lng': 106.8106169}",-6.1314572,106.8106169,"https://atourin.obs.ap-southeast-3.myhuaweicloud.com/images/destination/jakarta/jembatan-kota-intan-profile1655004438.jpeg?x-image-process=image/resize,p_100,limit_1/imageslim"
17,Museum Fatahillah,"Museum Fatahillah memiliki nama resmi Museum Sejarah Jakarta adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 1, Jakarta Barat dengan luas lebih dari 1.300 meter persegi.\nBangunan ini dahulu merupakan balai kota Batavia (bahasa Belanda: Stadhuis van Batavia) yang dibangun pada tahun 1707-1710 atas perintah Gubernur-Jendral Joan van Hoorn. Bangunan ini menyerupai Istana Dam di Amsterdam, terdiri atas bangunan utama dengan dua sayap di bagian timur dan barat serta bangunan sanding yang digunakan sebagai kantor, ruang pengadilan, dan ruang-ruang bawah tanah yang dipakai sebagai penjara. Pada tanggal 30 Maret 1974, bangunan ini kemudian diresmikan oleh bapak Ali Sadikin sebagai Museum Sejarah Jakarta.",Budaya,Jakarta,5000,4.4,,"{'lat': -6.136448899999999, 'lng': 106.8130661}",-6.1364489,106.8130661,https://upload.wikimedia.org/wikipedia/commons/1/10/Jakarta_Indonesia_Jakarta-History-Museum-02.jpg
18,Museum Bank Indonesia,"Museum Bank Indonesia adalah sebuah museum di Jakarta, Indonesia yang terletak di Jl. Pintu Besar Utara No.3, Jakarta Barat (depan stasiun Beos Kota), dengan menempati area bekas gedung Bank Indonesia Kota yang merupakan cagar budaya peninggalan De Javasche Bank yang beraliran neo-klasikal, dipadu dengan pengaruh lokal, dan dibangun pertama kali pada tahun 1828.\nPada tahun 1625, di tempat ini pernah dibangun sebuah gereja sederhana untuk umat Protestan. Pada tahun 1628, gereja ini dibongkar karena digunakan untuk tempat meriam besar ketika puluhan ribu tentara Sultan Agung menyerang Batavia untuk pertama kali.Museum ini menyajikan informasi peran Bank Indonesia dalam perjalanan sejarah bangsa yang dimulai sejak sebelum kedatangan bangsa barat di Nusantara hingga terbentuknya Bank Indonesia pada tahun 1953 dan kebijakan-kebijakan Bank Indonesia, meliputi pula latar belakang dan dampak kebijakan Bank Indonesia bagi masyarakat sampai dengan tahun 2005. Penyajiannya dikemas sedemikian rupa dengan memanfaatkan teknologi modern dan multi media, seperti display elektronik, panel statik, televisi plasma, dan diorama sehingga menciptakan kenyamanan pengunjung dalam menikmati Museum Bank Indonesia. Selain itu terdapat pula fakta dan koleksi benda bersejarah pada masa sebelum terbentuknya Bank Indonesia, seperti pada masa kerajaan-kerajaan Nusantara, antara lain berupa koleksi uang numismatik yang ditampilkan juga secara menarik.\nPeresmian Museum Bank Indonesia dilakukan melalui dua tahap, yaitu peresmian tahap I dan mulai dibuka untuk masyarakat (soft opening) pada tanggal 15 Desember 2006 oleh Gubernur Bank Indonesia saat itu, Burhanuddin Abdullah, dan peresmian tahap II (grand opening) oleh Presiden RI Susilo Bambang Yudhoyono, pada tanggal 21 Juli 2009.\nMuseum Bank Indonesia buka setiap hari kecuali Senin dan hari libur nasional.",Budaya,Jakarta,2000,4.7,,"{'lat': -6.137127, 'lng': 106.813005}",-6.137127,106.813005,https://a.travel-assets.com/findyours-php/viewfinder/images/res70/210000/210109-Jakarta.jpg
19,Kidzania,"KidZania adalah sebuah waralaba swasta Meksiko berupa pusat hiburan keluarga yang saat ini beroperasi di 23 lokasi, yang memungkinkan anak-anak melakukan pekerjaan orang dewasa dan mendapat bayaran. KidZania telah dikunjungi oleh lebih dari 31 juta pengunjung di seluruh dunia sejak pembukaannya, menjadikannya salah satu merek hiburan global yang paling cepat berkembang di dunia.",Taman Hiburan,Jakarta,185000,4.6,300,"{'lat': -6.225073499999999, 'lng': 106.8097144}",-6.2250735,106.8097144,https://cnc-magazine.oramiland.com/parenting/images/kidzania_AmMLUUG.width-800.format-webp.webp
20,Museum Taman Prasasti,"Museum Taman Prasasti adalah sebuah museum cagar budaya peninggalan masa kolonial Belanda yang berada di Jalan Tanah Abang No. 1, Jakarta Pusat. Museum ini memiliki koleksi prasasti nisan kuno serta miniatur makam khas dari 27 provinsi di Indonesia, beserta koleksi kereta jenazah antik. Museum seluas 1,2 ha ini merupakan museum terbuka yang menampilkan karya seni dari masa lampau tentang kecanggihan para pematung, pemahat, kaligrafer dan sastrawan yang menyatu.
",Budaya,Jakarta,2000,4.5,90,"{'lat': -6.172224099999998, 'lng': 106.8189695}",-6.1722241,106.8189695,https://tourism.binus.ac.id/files/2023/03/ca.jpg
21,Museum Wayang,"Museum Wayang adalah sebuah museum yang berlokasi di Jalan Pintu Besar Utara Nomor 27, Jakarta Barat.",Budaya,Jakarta,5000,4.5,150,"{'lat': -6.1349072, 'lng': 106.8124452}",-6.1349072,106.8124452,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/44/f3/ce/caption.jpg?w=1200&h=-1&s=1
22,Masjid Istiqlal,"Masjid Istiqlal (arti harfiah: Masjid Merdeka) adalah masjid nasional negara Republik Indonesia yang terletak di bekas Taman Wilhelmina, di Timur Laut Lapangan Medan Merdeka yang di tengahnya berdiri Monumen Nasional (Monas), di pusat ibukota Jakarta. Masjid ini merupakan salah satu dari 10 masjid terbesar kapasitasnya di dunia yang dapat menampung lebih dari 200.000 jamaah. Di seberang Timur masjid ini berdiri Gereja Katedral Jakarta. Ketua Harian Badan Pengelola Masjid Istiqlal (BPMI) sekaligus Imam Besar Masjid Istiqlal adalah Prof. Dr. Nasaruddin Umar, M.A. Pembangunan masjid ini diprakarsai oleh Presiden Republik Indonesia saat itu, Ir. Soekarno. Peletakan batu pertama sebagai tanda dimulainya pembangunan Masjid Istiqlal dilakukan oleh Ir. Soekarno pada tanggal 24 Agustus 1961. Arsitek Masjid Istiqlal adalah Frederich Silaban, seorang Nasrani.Masjid ini memiliki gaya arsitektur modern dengan dinding dan lantai berlapis marmer, dihiasi ornamen geometrik dari baja antikarat. Bangunan utama masjid ini terdiri dari lima lantai dan satu lantai dasar. Bangunan utama itu dimahkotai satu kubah besar berdiameter 45 meter yang ditopang 12 tiang besar. Menara tunggal setinggi total 96,66 meter menjulang di sudut Selatan selasar masjid. Masjid ini mampu menampung lebih dari 200.000 jamaah.Selain digunakan sebagai aktivitas ibadah umat Islam, masjid ini juga digunakan sebagai kantor berbagai organisasi Islam di Indonesia, aktivitas sosial, dan kegiatan umum. Masjid ini juga menjadi salah satu daya tarik wisata yang terkenal di Jakarta. Kebanyakan wisatawan yang berkunjung umumnya wisatawan domestik di samping sebagian wisatawan asing yang beragama Islam. Masyarakat non-Muslim juga dapat berkunjung ke masjid ini setelah sebelumnya mendapat pembekalan informasi mengenai Islam dan Masjid Istiqlal, meskipun bagian yang boleh dikunjungi kaum non-Muslim terbatas dan harus didampingi pemandu.\nPada tiap hari besar Islam seperti Ramadhan, Idul Fitri, Idul Adha, Tahun Baru Hijriyah, Maulid Nabi Muhammad serta Isra dan Mi'raj, Presiden Republik Indonesia selalu mengadakan kegiatan keagamaan di masjid ini yang disiarkan secara langsung melalui televisi nasional (TVRI) dan sebagian televisi swasta.",Tempat Ibadah,Jakarta,0,4.7,,"{'lat': -6.17017, 'lng': 106.83139}",-6.17017,106.83139,https://media-cdn.tripadvisor.com/media/photo-s/0f/c9/5b/b8/caption.jpg
23,Gereja Katedral,"Gereja Katedral Jakarta, atau bernama resmi Gereja Santa Maria Diangkat Ke Surga (bahasa Jerman: De Kerk van Onze Lieve Vrouwe ten Hemelopneming; bahasa Inggris: The Church of Our Lady of the Assumption) adalah sebuah gereja di Jakarta. Gedung gereja ini diresmikan pada 1901 dan dibangun dengan arsitektur neo-gotik dari Eropa, yakni arsitektur yang sangat lazim digunakan untuk membangun gedung gereja beberapa abad yang lalu.",Tempat Ibadah,Jakarta,0,4.8,,"{'lat': -6.169225000000001, 'lng': 106.833063}",-6.169225,106.833063,https://storage.jakarta-tourism.go.id/public/articles/76f64ee5-d37e-4e90-8d72-03b74dd2dec4.jpg
24,Blok M Square,"Blok M Square adalah pusat perbelanjaan yang berlokasi di Jl. Melawai V, Kebayoran Baru, Jakarta Selatan. Mall ini awalnya dikenal sebagai Aldiron Plaza, sebelum mengalami transformasi menjadi Blok M Square pada 10 Desember 2008.",Taman Hiburan,Jakarta,0,4.4,,"{'lat': -6.244465011563914, 'lng': 106.80071336880107}",-6.244465012,106.8007134,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsis08e6N_ULrpnk0j9FeHpCDdow589tjk7a-Ry_1dy58CnyUnPReTMCyLa9IEZ5fO-mF2d4e7nd0aISpJjWFjfTJ6fSzIbHLrERnKMWoz80g5HBOnfyeY8snf-VpXnyKb8FJL=w521-h240-k-no
25,Pasar Tanah Abang,"Pasar Tanah Abang atau Pasar Sabtu dibangun oleh Yustinus Vinck pada 30 Agustus 1735. Yustinus Vinck mendirikan Pasar Tanah Abang Pasar atas izin dari Gubernur Jenderal Abraham Patramini. Izin yang diberikan saat itu untuk Pasar Tanah Abang adalah untuk berjualan tekstil serta barang kelontong dan hanya buka setiap hari Sabtu. Oleh karena itu, pasar ini disebut Pasar Sabtu. Pasar ini mampu menyaingi Pasar Senen (Welter Vreden) yang sudah lebih dulu maju.\nPada tahun 1740 terjadi Peristiwa Geger Pecinan, yaitu pembantaian orang-orang Tionghoa, perusakan harta benda, termasuk Pasar Tanah Abang diporakporandakan dan dibakar. Pada tahun 1881, Pasar Tanah Abang kembali dibangun dan yang tadinya dibuka pada hari Sabtu, ditambah hari Rabu, sehingga Pasar Tanah Abang dibuka 2 kali seminggu. Bangunan Pasar pada mulanya sangat sederhana,terdiri dari dinding bambu dan papan serta atap rumbia dari 229 papan dan 139 petak bambu. Pasar Tanah Abang terus mengalami perbaikan hingga akhir abad ke-19 dan bagian lantainya mulai dikeraskan dengan pondasi adukan. Pada tahun 1913, Pasar Tanah Abang kembali diperbaiki. Pada tahun 1926 pemerintah Batavia membongkar Pasar Tanah Abang dan diganti bangunan permanen berupa tiga los panjang dari tembok dan papan serta beratap genteng, dengan kantor pasarnya berada di atas bangunan pasar mirip kandang burung. Pelataran parkir di depan pasar menjadi tempat parkir kuda-kuda penarik delman dan gerobak. Di situ tersedia kobakan air yang cukup besar, dan di seberang jalan ada toko yang khusus menjual dedak makanan kuda. Beberapa puluh meter dari toko dedak ada sebuah gang yang dikenal sebagai Gang Madat, tempat lokalisasi para pemadat.\nPada zaman pendudukan Jepang, pasar ini hampir tidak berfungsi, dan menjadi tempat para gelandangan.\nPasar Tanah Abang semakin berkembang setelah dibangunnya Stasiun Tanah Abang. Di tempat tersebut mulai dibangun tempat-tempat seperti Masjid Al Makmur dan Klenteng Hok Tek Tjen Sien yang keduanya seusia dengan Pasar Tanah Abang. Pada tahun 1973, Pasar Tanah Abang diremajakan, diganti dengan 4 bangunan berlantai empat, dan sudah mengalami dua kali kebakaran, pertama tanggal 30 Desember 1978, Blok A di lantai tiga dan kedua menimpa Blok B tanggal 13 Agustus 1979. Pada tahun 1975 tercatat kiosnya ada 4.351 buah dengan 3.016 pedagang.",Pusat Perbelanjaan,Jakarta,0,4,45,"{'lat': -6.189009599999999, 'lng': 106.8119312}",-6.1890096,106.8119312,https://pict.sindonews.net/dyn/850/pena/news/2023/10/03/171/1216087/7-tempat-wisata-dekat-pasar-tanah-abang-dari-monas-hingga-jakarta-aquarium-pxt.jpg
26,Pecinan Glodok,"Kawasan Glodok yang dikenal sebagai pusat perdagangan elektronik sendiri dulunya merupakan bekas Penjara Glodok yang angker. Lokasi ini berada di seberang Glodok-Pancoran di kawasan Harco. Sebelum terjadi kerusuhan Mei 1998, kawasan ini sempat menjadi pusat belanja elektronik bagi wisatawan Jepang, Taiwan, dan Hongkong. Di Pinangsia, masyarakat bisa menemukan produk perlengkapan rumah tangga dan bangunan. Selain wisata belanja, pecinan Glodok-Pancoran juga merupakan situs sejarah awal mula Kota Jakarta. Setelah etnis Tionghoa bermukim dan membangun bisnis, serta perkebunan tebu, Batavia mulai berkembang pesat.",Pusat Perbelanjaan,Jakarta,0,4.3,20,"{'lat': -6.142758799999999, 'lng': 106.8140791}",-6.1427588,106.8140791,https://blog-asset.jakartanotebook.com/2024/01/pecinan.webp
27,Sea World,"Seaworld Indonesia adalah sebuah miniatur pesona laut yang terdapat dalam kompleks wisata pertama di Taman Impian Jaya Ancol.\nPada tanggal 2 Oktober 1992, Gubernur DKI masa itu, Wiyogo Atmodarminto meletakkan batu pertama pembangunan Seaworld Indonesia. Tidak sampai dua tahun, pada tanggal 3 Juni 1994 SeaWorld Indonesia sudah mulai beroperasi. Area Seaworld seluas 3 hektare dengan luas bangunan utama 4.500 m2 berisi berbagai macam akuarium, lorong Antasena (lorong bawah air), perpustakaan, museum, terapi ikan dokter, glow theatre, komputer edukatif layar sentuh berisi informasi berbagai spesies di Seaworld dan bermacam fasilitas pelengkap untuk pengunjung seperti tempat makan, toko suvenir, dan ruang serba guna.",Taman Hiburan,Jakarta,115000,4.5,180,"{'lat': -6.126477500000001, 'lng': 106.842963}",-6.1264775,106.842963,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/b6/c8/14/sea-world.jpg?w=800&h=-1&s=1
28,Wisata Agro Edukatif Istana Susu Cibugary,Kawasan Wisata Agro Edukatif Istana Susu â€œCibugaryâ€ (Cibubur Garden Dairy ) merupakan suatu kawasan agro peternakan sapi perah bernuansa kebun dan taman. Wisata edukasi Cibubur Garden Dairy (CIBUGARY) merupakan salah wisata edukasi yang diminati siswa sekolah. Edukasi pengenalan peternakan sapi memberikan pengalaman yang tidak dapat dilupakan oleh siswa sekolah. Kegiatan edukasi yang tidak terlalu banyak dan menyenangkan ini sangat disukai siswa sekolah. Dengan berwisata edukasi ini dapat menambah ilmu dan pengalaman secara langsung bagi siswa sekolah. Paket wisata edukatif Istana Susu Cibugary dihargai antara Rp 35.000 sampai Rp 65.000 per orang. Harga tersebut sudah termasuk beberapa botol susu pasteurisasi dan goodybag cibugary.,Taman Hiburan,Jakarta,35000,4.5,,"{'lat': -6.3568093, 'lng': 106.9062371}",-6.3568093,106.9062371,https://www.alinear.id/assets_web/images/article/grid_cibugary_com.png
29,Wisata Kuliner Pecenongan,"Pecenongan merupakan salah satu surga kuliner di Jakarta Pusat yang dikenal sejak zaman Jakarta masih bernama kota Batavia. Dulunya di kawasan ini terdapat pedagang kaki lima yang menjajakan kuliner di pinggir jalan, tetapi tahun demi tahun kawasan Pecenongan semakin ramai dengan adanya rumah makan-rumah makan yang mulai dibangun. Kawasan pecenongan ini cocok bagi kalian yang ingin berwisata kuliner dimalam hari, beragam jenis kuliner yang pastinya membuat kamu kebingungan ingin mencoba yang mana terlebih dahulu. Tak heran jika orang yang sudah pernah mencoba pergi kulineran ke sini pasti akan kembali lagi.
",Pusat Perbelanjaan,Jakarta,0,5,,"{'lat': -6.166788700000001, 'lng': 106.8265261}",-6.1667887,106.8265261,https://skycitytrans.com/wp-content/uploads/2024/06/Wisata-Kuliner-Pecenongan-Jakarta.webp
30,Taman Menteng,"Taman Menteng adalah sebuah taman yang berlokasi di kawasan Menteng, Jakarta Pusat. Taman ini dulunya ditempati oleh Stadion Menteng.\nTaman ini berdiri di atas lahan seluas 2,9 hektar, dan memiliki koleksi 30 spesies tanaman yang berbeda. Taman Menteng juga memiliki beragam fasilitas pendukung seperti taman bermain untuk anak-anak serta lapangan futsal dan basket. Uniknya, di taman ini terdapat pula 44 sumur resapan untuk membantu penyerapan air hujan ke dalam tanah.
",Taman Hiburan,Jakarta,0,4.5,,"{'lat': -6.1964087, 'lng': 106.8293106}",-6.1964087,106.8293106,https://storage.jakarta-tourism.go.id/public/articles/ba4172ca-bffb-4eb4-9c0c-317d33411be4.png
